code,SG-Trans,Adequacy,Conciseness,Fluency,GREAT,Adequacy,Conciseness,Fluency,NeuralCodeSum,Adequacy,Conciseness,Fluency,Transformer,Adequacy,Conciseness,Fluency,CodeTransformer,Adequacy,Conciseness,Fluency
"public static String toString ( Reader reader , long timeout ) throws IOException { StringWriter sw = new StringWriter ( _NUM ) ; copy ( toBufferedReader ( reader ) , sw , timeout ) ; sw . close ( ) ; return sw . toString ( ) ; }
",reads string data from a reader,4,5,5,"reads a string data from the xml string , optionally closing the timeout .",4,3,4,reads string data object to a reader,4,4,3,reads string data from a reader,4,5,5,read reader from from a reader .,2,3,2
"ListBasedTokenStream ( AttributeSource attributeSource , List < AttributeSource > tokens ) { super ( attributeSource . getAttributeFactory ( ) ) ; this . tokens = tokens ; addAttributes ( attributeSource ) ; }
",creates a new listbasedtokenstream which uses the given attribute source .,5,4,5,creates a new listbasedtokenstream which wraps the attributes of the supplied shadow . only attributes will be set in sdk .,5,3,4,"creates an priority attribute list with the given attribute , using the given regular expression bundle .",4,3,4,creates a new listbasedtokenstream which uses the given attributes ( only " no cluster ) .,5,3,5,constructs a new attribute which is the provided attribute as an attribute .,3,4,4
"protected void appendText ( final String text ) { if ( text != null ) { textBody . append ( text ) ; } }
",append text to the start of the buffer .,3,5,5,"append a text , except when text is received .",4,5,5,"append text , splitting the contents of the text , and escapes the associated tag if necessary .",4,5,4,prints the text in the overview,2,4,3,append text to the body body .,2,4,2
"@ SuppressWarnings ( STRING ) public PropagationImp ( Stack < CompositeTransaction > lineage , boolean serial , long timeout ) { serial_ = serial ; lineage_ = ( Stack < CompositeTransaction > ) lineage . clone ( ) ; timeout_ = timeout ; }
",create a new instance .,2,5,5,clone a new instance with a given timeout .,4,5,4,create a new transaction for the specified amount of time .,3,4,5,create a new instance of transitioned .,2,4,4,construct a new instance with the specified detail string and exception .,2,4,5
"public void add ( String methodName , List < Expression > parameters ) { chain . add ( new DotExpressionItem ( methodName , parameters , _BOOL ) ) ; }
",add a method to the chain of methods after the chain of parameters .,4,3,3,"adds a method to the chain of methods after the dot , indicating that this segment is a property and does not need parenthesis and won ' t have paramaters .",3,2,3,add a single - item to the chain of methods after removing the parameters .,2,3,3,"add a method to the chain of methods after the dot , indicating the this segment is a list of methods and does not need a dot with a flow offset . note : this method handles a flow of the dot - > 80 .",3,5,3,add a parameterized to the list of methods that the chain does .,3,4,3
"private int calculateTotalHeight ( float starSize , int numberOfStars , float starsSeparation , boolean padding ) { return Math . round ( starSize ) + ( padding ? getPaddingTop ( ) + getPaddingBottom ( ) : _NUM ) ; }
",calculates total height to occupy based on several parameters,5,4,4,calculates total width to align width / height based on several crop set of other image,4,3,4,calculates total width to occupy based on several parameters,3,4,4,calculates total width to occupy based on several parameters,3,4,4,calculates total width to occupy based on several parameters .,3,4,4
"public void removeAction ( NetworkUpdateAction action ) { actionList . remove ( action ) ; for ( UpdateManagerListener listener : listeners ) { listener . actionRemoved ( action ) ; } }
",completely remove an action .,4,4,5,remove an action .,4,5,5,remove an action from the list .,5,5,5,completely remove an action .,4,4,5,removes remove an action from .,2,2,1
"public byte [ ] toByteArray ( ) { return Arrays . copyOf ( buf , cnt ) ; }
",creates a newly allocated byte array . its size is the current size of this output stream and the valid contents of the buffer have been copied into it .,5,3,3,safe access to the digest stored in a hash,3,4,3,safe access to the digest stored in a hash,3,4,3,returns the written bytes in a byte array . its size is the current size of this output stream .,4,3,4,gets the byte byte byte array .,2,3,1
"HttpStreamWrapper ( HttpStream stream ) throws IOException { _stream = stream ; }
",creates a new http stream wrapper .,5,5,5,creates a new timeobject object .,1,5,5,constructs a new instance of this class .,2,5,4,constructs a new stream of reflects .,3,5,3,creates a new xmlwriter plugin .,1,4,5
"public static void discard ( ) { current . remove ( ) ; }
",discards any active baggage currently in this thread,5,4,4,discards the current thread,5,5,5,discards any current entities currently in the database,3,4,5,removes the current player from being triggered in this thread .,2,4,3,discards all currently state currently in this thread .,4,2,2
"public boolean add ( symbol sym ) throws internal_error { Object previous ; not_null ( sym ) ; previous = _all . put ( sym . name ( ) , sym ) ; return previous == null ; }
",add a single symbol to the set .,5,4,4,add a symbol to the set .,5,5,5,add a symbol to the set .,5,5,5,adds a single object to the set of minidump .,3,4,4,adds the specified symbol to this adapter if .,3,4,3
"private void storePassword ( String password ) { if ( isStore && sharedState != null ) { sharedState . put ( getPwdKey ( ) , password ) ; } }
",store a password to the supplied keyboard . this method should be called after successful authentication by each individual user .,5,5,5,store password whether password will be g . this method should be called by the user that stop operations to maintain password in shared password .,4,4,3,"store current password map . this will be used when shared by the client ' s login file , choose choose choose services .",4,3,2,stores the user password and password scores into the datetimezone store . this method should be called after a password has been released from the keystore if no password could be released .,4,4,2,saves password information the state .,3,4,3
"public static long [ ] asLongArray ( final List < Long > l ) { final long [ ] a = new long [ l . size ( ) ] ; for ( int i = _NUM ; i < a . length ; i ++ ) { a [ i ] = l . get ( i ) ; } return a ; }
",return list of longs as a primitive array .,5,5,5,converts a list of longs to a primitive array .,4,5,5,return a list of longs as an array of primitive longs .,5,4,5,converts array to list of longs .,4,5,5,converts list of primitive integers as a primitive array .,3,4,5
"public boolean isExpired ( ) { return ( cookieExpiryDate != null && cookieExpiryDate . getTime ( ) <= System . currentTimeMillis ( ) ) ; }
",returns true if this cookie has expired .,3,5,5,returns true if this cookie has expired according to the time passed in .,5,5,5,returns true if this cookie has expired according to the time passed in .,5,5,5,returns true if this cookie has expired according to the time passed in .,5,5,5,returns true if this cookie has expired .,3,5,5
"public int countArray ( String [ ] array ) { return array . length ; }
",counts the count of values in an array .,5,4,5,counts how many values in the array ' s elements are stored in to the specified array .,5,3,5,"fill an already - allocated array with the values of the specified array . if the argument is null , the same size will be allocated and returned .",1,3,3,"returns a copy of the values in this array as a java . lang . values will be allocated , so that it can be allocated in the same order as the number of values specified by the array ' s iterator .",1,3,4,return the contents of the array if .,1,3,2
"public void removePhoto ( PhotoEntity photo ) { photos . remove ( photo ) ; }
",removes the given photo from this user,4,5,4,removes a new photo from this user,3,5,5,removes a photo from this user,3,5,4,removes the given photo from this user,4,5,4,removes a given photo from this user .,4,5,4
"public ActivityResolveInfo ( ResolveInfo resolveInfo ) { this . resolveInfo = resolveInfo ; }
",creates a new activity .,5,5,5,"creates an instance of the command , which will use the default dproviderinfo .",5,3,4,resolve info about a split object .,3,5,3,this is the methods that will be used for all activity with the provided activity .,3,5,4,creates an new instance of this class using .,4,5,5
"public byte [ ] readBytes ( ) throws IOException { int len = readInt ( ) ; if ( len == - _NUM ) { return null ; } byte [ ] b = DataUtils . newBytes ( len ) ; in . readFully ( b ) ; return b ; }
",read a byte array completely .,4,4,5,read bytes from the input stream .,5,5,5,read a number of bytes from the input stream .,3,5,5,read len bytes from the underlying input stream .,2,5,4,read a byte from from .,3,4,2
"public static String cutFromIndexOf ( String string , String substring ) { int i = string . indexOf ( substring ) ; if ( i != - _NUM ) { string = string . substring ( i ) ; } return string ; }
",cuts the string from the first index of provided substring to the end .,5,5,5,cuts the string from the first index of provided substring .,4,5,5,cuts the string from the first index of provided substring .,4,5,5,cuts the string from the first index of provided substring to the end .,4,5,5,cuts the string at beginning first index of provided substring .,4,4,5
"public byte [ ] serializeToBuffer ( Object o ) throws IOException { ByteArrayOutputStream bufOut = new ByteArrayOutputStream ( ) ; try { serialize ( bufOut , o ) ; bufOut . flush ( ) ; return bufOut . toByteArray ( ) ; } finally { bufOut . close ( ) ; } }
",serializes the object to a byte buffer .,5,4,5,serialize the object to a buffer .,5,5,5,serialize object to a byte array . returns the object has to be stored as a byte array .,4,4,4,converts a serialized object to a byte array .,4,4,5,serialize the object to a byte array .,4,5,5
"public void addRam ( AttackAction ea ) { pendingRams . addElement ( ea ) ; processGameEvent ( new GameNewActionEvent ( this , ea ) ) ; }
",adds a pending ramming attack to the list for this phase .,4,5,5,adds a pending displacement attack to the list for this phase .,3,4,5,adds a pending displacement attack to the list for this phase .,3,4,5,adds a pending ramming attack to the list for this phase .,4,5,5,adds a pending attack to to the list .,4,5,5
"public int read ( ) throws IOException { int val ; if ( ( val = is . read ( ) ) < _NUM ) { return - _NUM ; } if ( bo == STRING ) { val = ( char ) ( ( val << _NUM ) | ( is . read ( ) & _NUM ) ) ; } else { val = ( char ) ( ( is . read ( ) << _NUM ) | ( val & _NUM ) ) ; } return val ; }
",reads a single character .,5,5,5,reads a single integer from the stream .,1,5,5,reads characters into a character buffer and returns it as a string .,3,5,4,reads 32 char . like datainputstream . readchar except little endian .,2,1,1,reads the byte number or .,1,1,1
"public boolean equals ( Object object ) { if ( object == null || ! ( object instanceof SessionID ) ) { return _BOOL ; } SessionID another = ( SessionID ) object ; return encryptedString . equals ( another . encryptedString ) ; }
",compares this sessionid to the specified object . the result is true if and only if the argument is not null and the random string and server name are the same in both objects .,4,4,5,compares this sessionid with the specified object . the result is true if and only if the argument is not null and the random string is an objectendpoint xml document .,4,4,5,compares two policy legend . returns true if the object passed in matches the soap .,1,2,2,compares the session id for this object . the object is defined if sslv2 and extra in the spin string .,1,2,3,returns whether session name returns another specified name .,1,3,3
"public ActivityResolveInfo ( ResolveInfo resolveInfo ) { this . resolveInfo = resolveInfo ; }
",creates a new activity .,1,5,5,"creates an instance of the command , which will use the default dproviderinfo .",1,3,4,resolve info about a split object .,1,5,5,this is the methods that will be used for all activity with the provided activity .,1,4,5,creates an new instance of this class using .,1,4,5
"public ArrayList < MechSummary > generateUnits ( int num , UnitFilter filter ) { ArrayList < MechSummary > retVal = new ArrayList < > ( ) ; for ( int i = _NUM ; i < num ; i ++ ) { MechSummary ms = generateUnit ( filter ) ; if ( ms != null ) { retVal . add ( ms ) ; } } return retVal ; }
",selects a number of units from the table .,2,4,5,selects a list of units from the transition - 1 and puts the transition in the list .,2,3,4,selects a join report from the list of filter - order 0 - valued eviction .,1,1,2,performs a list of units for zoom requests .,1,3,3,loads the list of units from the list .,2,4,5
"public static String decode ( AbstractMessage msg , Boolean ext , int header ) { if ( ext == _BOOL ) { return decode ( msg ) ; } return STRING + header ; }
",return a string representation of a decoded canmessage,5,4,5,return a hex string for a decoded canmessage,2,5,5,decode a message and returns its textual representation .,5,5,5,return a string containing an occurrence of a decoded header,3,5,5,decode an header info from the header header header .,2,2,5
"public void deleteItem ( int position ) { if ( ! isDataListEmpty ( ) && position >= _NUM && position < mDataList . size ( ) ) { mDataList . remove ( position ) ; notifyItemRemoved ( position ) ; } }
",delete an item by position,5,5,5,removes an item from the list,4,5,5,delete an item to delete,4,3,4,remove item from list,4,5,5,remove an item item the .,4,3,4
"public int size ( ) { return all . size ( ) ; }
",return the number of signers in the collection .,3,4,5,size of the set,4,5,5,size of the set,4,5,5,return the number of signers in the collection .,3,4,5,return the number of signers in the collection .,3,4,5
"public PWResetException ( String bundleName , String errCode , Object [ ] args ) { super ( bundleName , errCode , args ) ; errList = new ArrayList ( _NUM ) ; errList . add ( getMessage ( ) ) ; }
",creates a password reset exception object .,2,3,5,creates a formatted exception object,3,5,5,creates a new instance of decoder,1,5,5,creates a password reset exception object .,2,3,5,creates a new instance exception instance .,3,4,5
"public static boolean isStringType ( Type t ) { return t . equals ( RefType . v ( STRING ) ) ; }
",return true if this reference is a string for a given type .,2,5,5,"tells whether the given type is a string . a type is a link type , i . e . t , "" & lt ; "" .",2,3,4,check if a given string is a integer .,1,5,5,"return true if this type is a string , false otherwise .",5,5,5,return true if this type is to as as or .,1,1,3
"public void waitForVolumesToBeVisible ( CGRequestParams request ) { scan ( request . getCopies ( ) , request . getRsets ( ) ) ; }
",causes the request to be done in the " importation " and " set of outstanding .,1,2,2,waits for the request to highlight the locator .,1,4,5,waits for the node to have expired .,1,5,4,"f1 the request parameters why on an input request . after the request is completed , this call is used to test the visited activities .",1,2,4,handles the request request request request request request request request request request used request .,1,1,2
"public CharSeq concat ( CharSeq another ) { return new CharSeq ( str + another . str ) ; }
",create a new charseq with the given string,3,5,5,construct a new charseq with the values of this charseq that matches the given charseq .,1,4,5,returns a new charseq with the same content,1,5,5,"returns a new charseq whose value is this charseq , with the given string",1,5,5,returns a with given given string .,1,1,1
"private static MappingObject ObjectAt ( PCalLocation loc , MappingObject [ ] [ ] map ) { return map [ loc . getLine ( ) ] [ loc . getColumn ( ) ] ; }
",location of object array loc .,1,4,5,"mapping between two double at the beginning of the specified line , where the last element is already null .",1,5,5,return a mapping as per object,2,4,5,"it uses the mapping to find location ( i . e . , the line - forward ) .",2,4,5,convert the mapping distance the index from the the to the the .,1,2,3
"protected void handle ( Exception exception , String title , String message ) { Utils . handleError ( getShell ( ) , exception , title , message ) ; }
",handle the specified error .,4,5,5,handles any exception that is thrown when processing a oauth2 authorization request .,4,4,4,handles a mini - language validation error .,2,2,4,handles an exception that occurred during the user .,3,3,4,handles an error error with a error box .,3,3,5
"private void evaluatePopup ( MouseEvent e ) { if ( e . isPopupTrigger ( ) ) { JPopupMenu menu = createBookmarkPopupMenu ( ) ; if ( menu != null ) { menu . show ( this , e . getX ( ) , e . getY ( ) ) ; } } }
","if this is a popup trigger , this method should call to check if the popup triggers and it is a popup menu depending on the mouse event .",4,5,5,evaluate the popup menu for the event .,3,5,5,called at potential popup triggers .,4,5,4,called at potential popup triggers .,4,5,4,attach the the given popup menu menu a popup menu menu menu the menu menu menu .,1,2,4
"public static String map2OID ( String algName ) { return alg2OidMap . get ( algName . toUpperCase ( Locale . US ) ) ; }
",returns oid for algname,5,5,5,safe to convert the string representation for a short value .,1,4,5,this method converts charset ' s asap letter to their string representation .,1,4,5,returns oid for algname,5,5,5,returns oid code algname .,4,4,4
"private void updateLineList ( ) { if ( horizontalLineRadiobutton . isSelected ( ) ) { setHorizontalLineSelected ( ) ; } else { setVerticalLineSelected ( ) ; } updateButtonStates ( ) ; }
",updates the previous line .,1,5,5,set the select button of the horizontal .,1,5,5,sets the line from the list ( if any ) and sets them to the current selection .,1,5,4,updates the background of the card buttons depending on the current selected line .,2,5,5,ensures the visible button of the that .,1,4,4
"public void replaceSplitElement ( int aIndex , Fragment aSplitElement ) { splits . set ( aIndex , aSplitElement ) ; }
",split split element by beginning,1,3,4,replaces an element at the beginning with the specified element,2,5,5,"replace an existing one interior instance with the elements of the list , and if it ' s in the new one .",1,3,3,"adds a split element to the beginning instruction this is trying to store trying the index for the formula . typically , store the element tree rooted at the index .",1,2,2,splits the split of in the but .,1,1,1
"private static int numInitialSplits ( long numRecords ) { final int maxSplits = _NUM ; final long recordsPerSplit = _NUM ; return ( int ) Math . min ( maxSplits , numRecords / recordsPerSplit + _NUM ) ; }
",compute the number of records in the specified number of searchfor .,2,4,4,uses a split number of attempts to make the main measurement selection note that the number of times the number of isolated isolated can occur .,1,2,1,calculates the number of rules that can be easily used later on any other export ( this is necessary for the given snapshot ) .,1,5,4,returns the largest power of two formatted that have the given size .,1,5,3,returns the total of records record in in range record in records .,1,1,3
"protected void markUsed ( Entry entry ) { entry . lastUsed = System . nanoTime ( ) ; }
",mark entry as activated by use it to make sure that a connection is activated .,2,5,4,mark the current node as follows .,1,5,5,mark the entry as separated by the currently collected key .,1,5,5,mark the stream as soon as we fail .,1,5,5,starts the entry entry .,1,3,5
"private < T > UnaryOperator < T > compose ( UnaryOperator < T > before , UnaryOperator < T > after ) { return null ; }
","compose a stream of functions into a single function , which applies each one after the other",2,5,5,"create a function after a side function of mapping , which applies each batch of a batch operator after the other operator has been applied , which is a mix function .",1,3,3,a function to compose one - hand functions of a ' before ',2,2,1,"tries to locate a stream of the given function which is , returning null .",1,5,2,todo the operations of as a function function which .,1,3,3
"private boolean hasNext ( Pattern pattern ) { if ( ! hasNext ( ) ) { return _BOOL ; } Matcher matcher = pattern . matcher ( gserValue . substring ( pos , length ) ) ; return matcher . find ( ) ; }
",returns true if the input matches the given pattern .,3,5,5,skips the next iff the parser has at the given position in the pattern .,1,4,5,returns true if the given pattern contains at least one item in the given pattern,3,3,4,returns true if the input matched the given pattern has a point in the document .,2,5,4,determines if the given token is is the given pattern .,1,3,5
"public static < R , A , B > CompletionStage < R > combine ( CompletionStage < A > a , CompletionStage < B > b , BiFunction < A , B , R > function ) { return a . thenCombine ( b , function ) ; }
",combine a function into a function .,4,5,5,the function should be supplied as the result of applying two values . the function finds each byte using a treeset function and the results from the original function and and returns the result .,1,4,5,this function takes a single function representation as the first pass of a function,1,5,5,this function is called to be a bridge - b / c connected to a single distribution,1,3,1,this the of of a a single that .,1,1,1
"public StreamInfoManager ( TwitchApi api , StreamInfoListener listener ) { this . listener = listener ; this . api = api ; pendingRequests = new HashMap < > ( ) ; invalidStreamInfo = new StreamInfo ( STRING , listener ) ; invalidStreamInfo . setRequested ( ) ; }
",creates a stream object .,1,5,5,creates a new instance with the specified api .,2,5,5,create a new instance of this class .,1,5,5,initializing for the target listener with the information supplied in the client .,3,5,5,create a new instance .,1,5,5
"public Sentence asSentence ( ) { return Sentence . newConjunction ( sentences ) ; }
",returns a sentence sentence from the annotation .,3,3,5,convert the sentence into its sub - model .,1,5,5,returns a structuredtranslation of the structure .,1,1,5,returns a conjunction of conjuncts .,1,1,5,return the sentence of sentence on the sentence .,1,1,3
"public boolean isPronoun ( ) { return typeString . contains ( SUFFIX_PRONOUN ) ; }
",determine if the expression is a tree .,1,5,5,determine if the expression is some fluid .,1,5,4,determine if the expression is some fluid .,1,5,4,determine if the expression is some food .,1,5,4,determine if the expression is a regular expression .,1,5,4
"KeyStoreState ( ) { }
",create a new empty keystore,4,5,5,create new empty state store instance .,3,5,5,construct new empty keystore,4,5,5,create a new empty keystore for the state of an unsaved journal,2,5,5,creates new instance message of .,2,5,3
"private static boolean isInNeedOfForm ( UIComponent component ) { return ( component instanceof ActionSource || component instanceof ActionSource2 || component instanceof EditableValueHolder ) ; }
",determines whether a component is an action .,2,5,5,determine if the given action is source .,2,5,5,determines if the component of the component represents the given component and the component components .,1,1,3,check if the component is in the preview component .,1,5,5,determine a bigdecimal check determine button the component area .,1,3,1
"public Node ( Coordinate pt ) { this ( pt , new DirectedEdgeStar ( ) ) ; }
",creates a new rotate node with a unique capacity .,1,5,5,creates a copy of the focus,1,5,5,"creates a new , and specifies the polygon for the given node .",1,5,5,creates a new edge edge with the given node .,1,3,5,creates a new instance the given location .,1,5,2
"public static int unionSize ( long [ ] x , long [ ] y ) { final int lx = x . length , ly = y . length ; final int min = ( lx < ly ) ? lx : ly ; int i = _NUM , res = _NUM ; for ( ; i < min ; i ++ ) { res += Long . bitCount ( x [ i ] | y [ i ] ) ; } for ( ; i < lx ; i ++ ) { res += Long . bitCount ( x [ i ] ) ; } for ( ; i < ly ; i ++ ) { res += Long . bitCount ( y [ i ] ) ; } return res ; }
",compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the intersection size of two bitsets .,4,5,2
"public String toString ( ) { StringBuffer text = new StringBuffer ( ) ; if ( ( m_classAttribute == null ) ) { return STRING ; } try { text . append ( STRING ) ; text . append ( STRING + m_kernel . toString ( ) + STRING ) ; for ( int i = _NUM ; i < m_classAttribute . numValues ( ) ; i ++ ) { for ( int j = i + _NUM ; j < m_classAttribute . numValues ( ) ; j ++ ) { text . append ( STRING + m_classAttribute . value ( i ) + STRING + m_classAttribute . value ( j ) + STRING ) ; text . append ( m_classifiers [ i ] [ j ] ) ; if ( m_fitLogisticModels ) { text . append ( STRING ) ; if ( m_classifiers [ i ] [ j ] . m_logistic == null ) { text . append ( STRING ) ; } else { text . append ( m_classifiers [ i ] [ j ] . m_logistic ) ; } } text . append ( STRING ) ; } } } catch ( Exception e ) { return STRING ; } return text . toString ( ) ; }
",prints out the attribute evaluator .,4,5,3,outputs a description of one attribute .,3,5,5,returns a text attribute list ( ) that is represented by a small string .,4,3,4,returns a description of this attribute and the auto - string describing a ring of the class and values .,5,2,4,returns optimal text text of .,2,3,1
"private void walk ( File directory , int depth , Collection < T > results ) throws IOException { checkIfCancelled ( directory , depth , results ) ; if ( handleDirectory ( directory , depth , results ) ) { handleDirectoryStart ( directory , depth , results ) ; int childDepth = depth + _NUM ; if ( depthLimit < _NUM || childDepth <= depthLimit ) { checkIfCancelled ( directory , depth , results ) ; File [ ] childFiles = filter == null ? directory . listFiles ( ) : directory . listFiles ( filter ) ; childFiles = filterDirectoryContents ( directory , depth , childFiles ) ; if ( childFiles == null ) { handleRestricted ( directory , childDepth , results ) ; } else { for ( File childFile : childFiles ) { if ( childFile . isDirectory ( ) ) { walk ( childFile , childDepth , results ) ; } else { checkIfCancelled ( childFile , childDepth , results ) ; handleFile ( childFile , childDepth , results ) ; checkIfCancelled ( childFile , childDepth , results ) ; } } } } handleDirectoryEnd ( directory , depth , results ) ; } checkIfCancelled ( directory , depth , results ) ; }
",main recursive method to examine the directory hierarchy .,5,5,5,main recursive method to examine the directory hierarchy .,5,5,5,main recursive method to examine the directory hierarchy .,5,5,5,main recursive method to examine the directory hierarchy .,5,5,5,main recursive method to examine the directory hierarchy .,5,5,5
"public void testDivideExceptionInvalidRM ( ) { String a = STRING ; int aScale = _NUM ; String b = STRING ; int bScale = _NUM ; BigDecimal aNumber = new BigDecimal ( new BigInteger ( a ) , aScale ) ; BigDecimal bNumber = new BigDecimal ( new BigInteger ( b ) , bScale ) ; try { aNumber . divide ( bNumber , _NUM ) ; fail ( STRING ) ; } catch ( IllegalArgumentException e ) { assertEquals ( STRING , STRING , e . getMessage ( ) ) ; } }
",divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide rounding negative rounding mode .,5,5,5
"private static void useMissile ( Player player ) { StackableItem projectilesItem = null ; if ( player . getRangeWeapon ( ) != null ) { projectilesItem = player . getAmmunition ( ) ; } if ( projectilesItem == null ) { projectilesItem = player . getMissileIfNotHoldingOtherWeapon ( ) ; } if ( projectilesItem != null ) { projectilesItem . removeOne ( ) ; } }
",make a dialog garbage it starts its own rate,1,5,4,kills a specific player .,2,5,5,"start tom , no longer used .",2,5,3,removes an storage range from items,3,5,5,remove an exit status status status the status status .,1,1,1
"private int determineMaxLevelRec ( int level , Node v ) { int newLevel = level ; for ( Edge e = v . getFirstOutEdge ( ) ; e != null ; e = v . getNextOutEdge ( e ) ) { newLevel = Math . max ( newLevel , determineMaxLevelRec ( level , e . getTarget ( ) ) + _NUM ) ; } return newLevel ; }
","boxradius level , calculate the relevant level level , and null values of all edges .",3,5,3,determine the level of the given level,3,5,5,"return the index to fit the given level , replacing all transfers of the old edge to the new level",2,3,4,multiplies = max + max level,2,4,2,checks the not minimum for .,1,4,2
"private synchronized void putMapEntry ( String localId , MapEntry entry ) { if ( ! isLocalId ( localId ) ) { throw new IllegalStateException ( STRING + localId + STRING ) ; } JSONObject json = new JSONObject ( ) ; try { json . put ( STRING , entry . retainCount ) ; if ( entry . objectId != null ) { json . put ( STRING , entry . objectId ) ; } } catch ( JSONException je ) { throw new IllegalStateException ( STRING , je ) ; } File file = new File ( diskPath , localId ) ; if ( ! diskPath . exists ( ) ) { diskPath . mkdirs ( ) ; } try { ParseFileUtils . writeJSONObjectToFile ( file , json ) ; } catch ( IOException e ) { } }
",store entry to xml request,3,5,5,emits a string entry to a log file in the local cache that contains the specified entry .,4,3,3,inserts an entry into the disk cache .,3,5,4,this is invoked in the json implementation to ensure that we need to store a tomcat in the json state and saves the state in the request .,3,4,4,internal snapshot of and local local file and and and and .,3,5,2
